generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
1,10000,0.1782178217821782,3.0,1.0,1.0,1.0,9430,0.0594
2,10000,0.1188118811881188,2.0,1.0,1.0,1.0,8869,0.1172
3,10000,0.23722772277227722,4.0,1.0,1.0,1.0,8344,0.1958
4,10000,0.49504950495049505,4.0,1.0,1.0,1.0,7893,0.2743
5,10000,0.7718811881188119,5.0,1.0,1.0,1.0,7421,0.3703
6,10000,0.7124752475247524,5.0,1.0,1.0,1.0,6947,0.4774
7,10000,0.5938613861386138,6.0,1.0,1.0,1.0,6555,0.5903
8,10000,1.027920792079208,6.0,1.0,1.0,1.0,6205,0.6987
9,10000,1.0291089108910891,5.0,1.0,1.0,1.0,5839,0.8219
10,10000,1.484950495049505,7.0,1.0,1.0,1.0,5482,0.939
11,10000,1.283960396039604,6.0,1.0,1.0,1.0,5253,1.0515
12,10000,1.2267326732673267,6.0,1.0,1.0,1.0,5013,1.1867
13,10000,1.4223762376237623,6.0,1.0,1.0,1.0,4781,1.3061
14,10000,1.5627722772277228,6.0,1.0,1.0,1.0,4339,1.5144
15,10000,1.798019801980198,8.0,1.0,1.0,1.0,4025,1.6419
16,10000,1.9754455445544554,8.0,1.0,1.0,1.0,3747,1.7996
17,10000,2.113069306930693,8.0,1.0,1.0,1.0,3520,1.952
18,10000,2.3116831683168315,10.0,1.0,1.0,1.0,3298,2.1195
19,10000,1.9372277227722772,7.0,1.0,1.0,1.0,3087,2.2521
20,10000,2.114851485148515,8.0,1.0,1.0,1.0,2936,2.3965
21,10000,2.7263366336633665,8.0,1.0,1.0,1.0,2748,2.5225
22,10000,2.823168316831683,9.0,1.0,1.0,1.0,2586,2.649
23,10000,2.5695049504950496,10.0,1.0,1.0,1.0,2394,2.8164
24,10000,3.2154455445544556,9.0,1.0,1.0,1.0,2226,3.005
25,10000,3.4253465346534653,10.0,1.0,1.0,1.0,2115,3.1212
26,10000,2.546930693069307,10.0,1.0,1.0,1.0,2070,3.2646
27,10000,3.3956435643564356,11.0,1.0,1.0,1.0,1890,3.4582
28,10000,3.5922772277227724,9.0,1.0,1.0,1.0,1803,3.5957
29,10000,3.6702970297029704,12.0,1.0,1.0,1.0,1682,3.7857
30,10000,3.4166336633663366,9.0,1.0,1.0,1.0,1652,3.8798
31,10000,3.730693069306931,12.0,1.0,1.0,1.0,1587,4.051
32,10000,3.489108910891089,12.0,1.0,1.0,1.0,1533,4.1819
33,10000,3.378019801980198,13.0,1.0,1.0,1.0,1437,4.3453
34,10000,3.8255445544554454,12.0,1.0,1.0,1.0,1347,4.514
35,10000,4.294059405940594,13.0,1.0,1.0,1.0,1266,4.7295
36,10000,4.06019801980198,14.0,1.0,1.0,1.0,1146,4.9243
37,10000,4.298019801980198,14.0,1.0,1.0,1.0,1094,5.0599
38,10000,4.459207920792079,12.0,1.0,1.0,1.0,1013,5.2423
39,10000,4.691881188118812,13.0,1.0,1.0,1.0,965,5.4168
40,10000,4.711485148514852,16.0,1.0,1.0,1.0,882,5.6119
41,10000,5.249306930693069,12.0,1.0,1.0,1.0,814,5.7461
42,10000,4.927920792079208,15.0,1.0,1.0,1.0,766,5.9122
43,10000,4.693267326732673,12.0,1.0,1.0,1.0,743,6.1047
44,10000,4.629702970297029,11.0,1.0,1.0,1.0,690,6.3963
45,10000,5.495643564356436,13.0,1.0,1.0,1.0,701,6.521
46,10000,5.439009900990099,15.0,1.0,1.0,1.0,673,6.6744
47,10000,5.845346534653466,17.0,1.0,1.0,1.0,657,6.8693
48,10000,6.228316831683168,16.0,1.0,1.0,1.0,609,7.0541
49,10000,6.0029702970297025,13.0,1.0,1.0,1.0,549,7.2351
50,10000,6.428514851485149,16.0,1.0,1.0,1.0,519,7.3918
51,10000,5.653465346534653,14.0,1.0,1.0,1.0,486,7.5699
52,10000,5.9071287128712875,16.0,1.0,1.0,1.0,477,7.6786
53,10000,6.516633663366337,18.0,1.0,1.0,1.0,445,7.9016
54,10000,6.916633663366337,17.0,1.0,1.0,1.0,438,7.9778
55,10000,6.966732673267327,17.0,1.0,1.0,1.0,382,8.1863
56,10000,7.295247524752475,15.0,1.0,1.0,1.0,345,8.3387
57,10000,6.785346534653465,18.0,1.0,1.0,1.0,317,8.4448
58,10000,6.5384158415841584,16.0,1.0,1.0,1.0,289,8.6489
59,10000,7.226930693069307,19.0,1.0,1.0,1.0,275,8.8362
60,10000,7.2057425742574255,18.0,1.0,1.0,1.0,287,9.0233
61,10000,7.161980198019802,20.0,1.0,1.0,1.0,260,9.2105
62,10000,7.586138613861386,19.0,1.0,1.0,1.0,288,9.3172
63,10000,7.586534653465346,17.0,1.0,1.0,1.0,271,9.4812
64,10000,8.06970297029703,19.0,1.0,1.0,1.0,280,9.624
65,10000,7.783366336633663,18.0,1.0,1.0,1.0,254,9.8266
66,10000,8.040990099009901,19.0,1.0,1.0,1.0,259,9.9672
67,10000,8.445148514851486,19.0,1.0,1.0,1.0,254,10.1113
68,10000,8.811683168316831,18.0,1.0,1.0,1.0,215,10.2607
69,10000,7.982970297029703,19.0,1.0,1.0,1.0,226,10.4644
70,10000,8.013663366336633,20.0,1.0,1.0,1.0,201,10.5331
71,10000,8.837623762376237,19.0,1.0,1.0,1.0,186,10.7334
72,10000,8.500594059405941,18.0,1.0,1.0,1.0,160,10.988
73,10000,7.8021782178217824,22.0,1.0,1.0,1.0,145,11.2351
74,10000,8.214059405940594,22.0,1.0,1.0,1.0,122,11.4499
75,10000,9.217821782178218,18.0,1.0,1.0,1.0,110,11.6662
76,10000,8.89920792079208,20.0,1.0,1.0,1.0,94,11.7848
77,10000,8.736633663366337,21.0,1.0,1.0,1.0,100,11.9491
78,10000,9.101188118811882,22.0,1.0,1.0,1.0,101,12.0496
79,10000,8.993663366336634,18.0,1.0,1.0,1.0,93,12.2394
80,10000,9.41881188118812,20.0,1.0,1.0,1.0,96,12.3479
81,10000,9.63920792079208,21.0,1.0,1.0,1.0,92,12.5795
82,10000,10.01049504950495,22.0,1.0,1.0,1.0,90,12.7705
83,10000,9.667524752475247,22.0,1.0,1.0,1.0,64,12.9052
84,10000,9.54158415841584,22.0,1.0,1.0,1.0,64,13.1583
85,10000,9.707326732673268,19.0,1.0,1.0,1.0,68,13.3548
86,10000,10.01029702970297,19.0,1.0,1.0,1.0,76,13.531
87,10000,9.835643564356436,21.0,1.0,1.0,1.0,72,13.73
88,10000,10.422772277227724,23.0,1.0,1.0,1.0,75,13.8698
89,10000,10.228316831683168,20.0,1.0,1.0,1.0,72,14.0277
90,10000,10.223168316831684,23.0,1.0,1.0,1.0,74,14.096
91,10000,10.726336633663367,23.0,1.0,1.0,1.0,73,14.2173
92,10000,10.284554455445544,20.0,1.0,1.0,1.0,76,14.4117
93,10000,11.29980198019802,24.0,1.0,1.0,1.0,61,14.509
94,10000,10.566336633663367,23.0,1.0,1.0,1.0,50,14.6617
95,10000,10.543960396039603,24.0,1.0,1.0,1.0,47,14.8611
96,10000,11.145346534653465,24.0,1.0,1.0,1.0,57,15.0847
97,10000,9.962178217821782,24.0,1.0,1.0,1.0,51,15.1471
98,10000,11.192475247524753,22.0,1.0,1.0,1.0,48,15.3731
99,10000,11.191485148514852,20.0,1.0,1.0,1.0,49,15.5367
